Symbol,Name,Sector,Industry,Full_Time_Employees,Total_ESG_Risk_score,Environment_Risk_Score,Governance_Risk_Score,Social_Risk_Score,Controversy_Level,Controversy_Score,ESG_Risk_Percentile,ESG_Risk_Level,Controversy_Level_Score,ESG_Cluster,PCA1,PCA2
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,139000.0,35.9,14.0,9.5,12.4,High Controversy Level,4.0,85.0,High,4.0,1,2.5177072559774496,1.678778613756468
TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,15500.0,38.7,12.0,9.0,17.7,Moderate Controversy Level,2.0,90.0,High,2.0,1,1.969528562294808,0.7580289674359476
TT,Trane Technologies Plc,Industrials,Building Products & Equipment,40000.0,15.2,4.4,5.1,5.7,Moderate Controversy Level,2.0,12.0,Low,2.0,0,-1.0344374471271716,0.030773928147283997
TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail,50000.0,16.1,3.4,4.5,8.2,Moderate Controversy Level,2.0,14.0,Low,2.0,0,-0.7126851439532128,0.0868610123321251
TJX,"Tjx Companies, Inc.",Consumer Cyclical,Apparel Retail,349000.0,14.4,1.9,4.8,7.7,Moderate Controversy Level,2.0,10.0,Low,2.0,0,-0.7231123582904709,-0.223170525486019
TMO,"Thermo Fisher Scientific, Inc.",Healthcare,Diagnostics & Research,122000.0,12.8,1.4,6.5,4.9,Significant Controversy Level,3.0,6.0,Low,3.0,0,-0.13292771422302005,-0.3060193254504522
DIS,The Walt Disney Company,Communication Services,Entertainment,173250.0,15.7,0.0,6.7,9.0,Moderate Controversy Level,2.0,13.0,Low,2.0,0,-0.03904477171657206,-0.876031054727008
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,32967.0,20.3,1.0,10.0,9.3,Low Controversy Level,1.0,29.0,Medium,1.0,3,0.06013641117603691,-1.8618717972059287
SO,The Southern Company,Utilities,Utilities - Regulated Electric,27819.0,33.0,14.7,7.3,11.0,Moderate Controversy Level,2.0,78.0,High,2.0,2,0.34971681635811885,1.3144656362124971
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,64088.0,29.4,14.3,5.8,9.2,Moderate Controversy Level,2.0,66.0,Medium,2.0,2,-0.3159007536956737,1.513422819283596
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,14049.0,33.5,13.9,8.6,11.1,Moderate Controversy Level,2.0,80.0,High,2.0,2,0.6713996112825465,0.9185953077761005
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,414000.0,21.3,6.6,5.6,9.1,Significant Controversy Level,3.0,33.0,Medium,3.0,2,0.38089539920010684,0.8195894302739295
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,36000.0,33.7,13.5,6.2,14.1,Significant Controversy Level,3.0,80.0,High,3.0,2,1.3699571741550076,1.9127840351936427
SJM,The J.M. Smucker Company,Consumer Defensive,Packaged Foods,5800.0,30.5,12.9,5.6,12.0,Moderate Controversy Level,2.0,71.0,High,2.0,2,0.1546199296714911,1.4329256156670114
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,56800.0,10.3,0.0,5.3,5.0,Low Controversy Level,1.0,3.0,Low,1.0,0,-1.7852782956436506,-1.1558564822497486
HSY,The Hershey Company,Consumer Defensive,Confectioners,18650.0,26.0,10.5,5.1,10.4,Significant Controversy Level,3.0,53.0,Medium,3.0,2,0.4721121071484452,1.5661092103069656
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,Insurance - Property & Casualty,18700.0,16.6,1.8,7.6,7.2,Low Controversy Level,1.0,16.0,Low,1.0,0,-0.8747066994589929,-1.2973696347043169
EL,The Estee Lauder Companies Inc. Class A,Consumer Defensive,Household & Personal Products,44020.0,25.5,6.9,7.5,11.1,Moderate Controversy Level,2.0,51.0,Medium,2.0,2,0.471899479226822,0.07984334588019748
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,15000.0,17.5,2.7,6.0,8.8,Moderate Controversy Level,2.0,19.0,Low,2.0,0,-0.25563128794747136,-0.31988816056452224
CI,The Cigna Group,Healthcare,Healthcare Plans,70325.0,11.6,0.0,5.7,6.0,Moderate Controversy Level,2.0,3.0,Low,2.0,0,-0.8099678597951416,-0.7613527389548651
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,32600.0,23.3,2.4,11.9,8.9,Moderate Controversy Level,2.0,41.0,Medium,2.0,3,1.1154817912829353,-1.617655904482589
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,53000.0,22.0,1.0,10.9,10.1,Moderate Controversy Level,2.0,36.0,Medium,2.0,3,1.1137902079877517,-1.5802654175024695
TXT,"Textron, Inc.",Industrials,Aerospace & Defense,35000.0,33.6,10.9,6.6,16.1,Moderate Controversy Level,2.0,80.0,High,2.0,2,1.139222169162504,1.047697758284953
TXN,Texas Instruments Incorporated,Technology,Semiconductors,34000.0,20.6,7.8,6.9,6.0,Moderate Controversy Level,2.0,30.0,Medium,2.0,0,-0.5935549938314485,0.17872658965411312
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,140473.0,25.2,3.3,7.8,14.1,Significant Controversy Level,3.0,50.0,Medium,3.0,1,1.8125505603300744,0.009283761046042721
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,14500.0,29.6,4.8,8.7,16.1,Moderate Controversy Level,2.0,67.0,Medium,2.0,1,1.6656314438180764,-0.3338407338557198
TGT,Target Corporation,Consumer Defensive,Discount Stores,415000.0,14.4,1.9,4.9,7.6,Significant Controversy Level,3.0,10.0,Low,3.0,0,-0.015210399815659822,0.1992004530457598
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,3182.0,33.2,14.2,4.2,14.8,Moderate Controversy Level,2.0,79.0,High,2.0,2,0.33021073584455035,2.021468669804337
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,12600.0,14.8,1.1,5.2,8.6,Moderate Controversy Level,2.0,11.0,Low,2.0,0,-0.4629582010095353,-0.40144582856940786
TMUS,"T-Mobile Us, Inc.",Communication Services,Telecom Services,67000.0,24.6,4.2,7.1,13.4,Significant Controversy Level,3.0,47.0,Medium,3.0,1,1.5190952257919288,0.27323693452373643
TROW,T Rowe Price Group Inc,Financial Services,Asset Management,7878.0,16.9,2.4,5.6,8.9,Low Controversy Level,1.0,17.0,Low,1.0,0,-1.0299748503922708,-0.7244173219629492
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,72000.0,15.9,5.4,4.5,6.1,Moderate Controversy Level,2.0,14.0,Low,2.0,0,-1.1070220501162902,0.3247292564683041
SYF,Synchrony Financial,Financial Services,Credit Services,20000.0,17.3,0.1,7.3,9.9,Moderate Controversy Level,2.0,18.0,Low,2.0,3,0.26016932079566146,-0.9589262634751058
SYK,Stryker Corporation,Healthcare,Medical Devices,52000.0,28.3,4.0,11.0,13.2,Moderate Controversy Level,2.0,62.0,Medium,2.0,3,1.6742907983172672,-1.040477162906681
STLD,Steel Dynamics Inc,Basic Materials,Steel,12600.0,33.0,10.6,8.1,14.4,Low Controversy Level,1.0,78.0,High,1.0,2,0.4746993134372289,0.18017006586642767
STT,State Street Corporation,Financial Services,Asset Management,45871.0,24.1,1.6,9.5,12.9,Low Controversy Level,1.0,45.0,Medium,1.0,3,0.5915427300089638,-1.5459083315544908
SBUX,Starbucks Corp,Consumer Cyclical,Restaurants,381000.0,24.7,5.8,4.3,14.6,Significant Controversy Level,3.0,48.0,Medium,3.0,1,1.0828605278286279,1.1532758494984316
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,50000.0,25.3,5.0,7.8,12.5,Moderate Controversy Level,2.0,50.0,Medium,2.0,3,0.8077131231531182,-0.22939352050405196
LUV,Southwest Airlines Co.,Industrials,Airlines,74695.0,30.7,11.0,5.9,13.7,Moderate Controversy Level,2.0,71.0,High,2.0,2,0.5446309000229774,1.1334931385248828
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,13200.0,30.5,9.0,7.6,13.9,Moderate Controversy Level,2.0,71.0,High,2.0,2,0.9849327726651824,0.4719026752599032
SWKS,Skyworks Solutions Inc,Technology,Semiconductors,9750.0,28.0,11.8,7.2,8.9,Low Controversy Level,1.0,61.0,Medium,1.0,2,-0.7339465518473072,0.3757722984335088
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,2500.0,14.0,3.8,6.2,4.0,Low Controversy Level,1.0,9.0,Low,1.0,0,-1.7882968892051012,-0.7976397263185538
SRE,Sempra,Utilities,Utilities - Diversified,16835.0,23.6,10.9,4.9,7.8,Moderate Controversy Level,2.0,43.0,Medium,2.0,2,-0.7494518957730945,1.1380707431816377
STX,Seagate Technology Holdings Plcs,Technology,Computer Hardware,33400.0,10.7,1.6,5.3,3.8,Low Controversy Level,1.0,2.0,Low,1.0,0,-2.0140320982938085,-0.9498748641534117
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,111000.0,20.3,8.1,5.9,6.3,Low Controversy Level,1.0,29.0,Medium,1.0,0,-1.4736235859781444,0.0003167033157536457
CRM,"Salesforce, Inc.",Technology,Software - Application,72682.0,14.9,2.0,5.4,7.5,Low Controversy Level,1.0,11.0,Low,1.0,0,-1.325694547571143,-0.7889264905537156
SPGI,S&p Global Inc.,Financial Services,Financial Data & Stock Exchanges,40450.0,13.0,0.0,6.8,6.2,Low Controversy Level,1.0,7.0,Low,1.0,0,-1.2250642542028896,-1.4357222375712946
RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services,98100.0,20.7,8.1,4.9,7.7,Significant Controversy Level,3.0,31.0,Medium,3.0,2,-0.043507050019506575,1.1526153861693151
ROST,Ross Stores Inc,Consumer Cyclical,Apparel Retail,108000.0,18.2,1.8,5.7,10.8,Moderate Controversy Level,2.0,21.0,Low,2.0,0,0.04372930393983285,-0.3286334391330043
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,19000.0,19.3,1.8,6.9,10.6,Low Controversy Level,1.0,26.0,Low,1.0,0,-0.4207352099855024,-1.0373476775582642
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,29000.0,17.7,5.4,5.7,6.6,Moderate Controversy Level,2.0,19.0,Low,2.0,0,-0.7419533841489733,0.0858032553731481
RHI,Robert Half Inc.,Industrials,Staffing & Employment Services,15000.0,10.9,0.1,3.4,7.4,Low Controversy Level,1.0,3.0,Low,1.0,0,-1.7874521305721314,-0.657924224303857
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,11000.0,16.7,0.8,5.8,10.1,Moderate Controversy Level,2.0,16.0,Low,2.0,0,-0.0523583314095722,-0.5260320525994686
RMD,Resmed Inc.,Healthcare,Medical Instruments & Supplies,,26.4,3.5,10.4,12.4,Low Controversy Level,1.0,55.0,Medium,1.0,3,0.6930608539502384,-1.4625249472759028
RSG,Republic Services Inc.,Industrials,Waste Management,41000.0,20.9,11.2,3.7,6.0,Significant Controversy Level,3.0,31.0,Medium,3.0,2,-0.64854623452704,1.8273972319840774
RF,Regions Financial Corp.,Financial Services,Banks - Regional,20101.0,16.9,1.8,8.4,6.7,Moderate Controversy Level,2.0,17.0,Low,2.0,3,-0.07880296620576904,-1.0369767208973804
REGN,Regeneron Pharmaceuticals Inc,Healthcare,Biotechnology,13677.0,18.0,0.3,6.7,11.0,Moderate Controversy Level,2.0,21.0,Low,2.0,3,0.320027394606685,-0.7646936144548804
O,Realty Income Corporation,Real Estate,REIT - Retail,418.0,15.5,4.4,5.7,5.3,Moderate Controversy Level,2.0,13.0,Low,2.0,0,-0.9693306547314253,-0.10993191575822302
RJF,"Raymond James Financial, Inc.",Financial Services,Capital Markets,18000.0,27.0,2.3,13.4,11.2,Moderate Controversy Level,2.0,57.0,Medium,2.0,3,1.8751671440087312,-1.8768971810245758
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,14800.0,14.6,1.2,5.6,7.8,Moderate Controversy Level,2.0,10.0,Low,2.0,0,-0.5166522563387137,-0.49735480138418736
DGX,Quest Diagnostics Inc.,Healthcare,Diagnostics & Research,50000.0,21.2,0.1,8.0,13.1,Significant Controversy Level,3.0,33.0,Medium,3.0,1,1.7016117642435657,-0.5563403281960072
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,52500.0,36.9,12.1,9.0,15.7,Moderate Controversy Level,2.0,88.0,High,2.0,1,1.607465271734202,0.7079913209300249
QCOM,Qualcomm Inc,Technology,Semiconductors,50000.0,15.4,5.3,5.6,4.5,Significant Controversy Level,3.0,12.0,Low,3.0,0,-0.4404091188814269,0.47003113215457276
PHM,"Pultegroup, Inc.",Consumer Cyclical,Residential Construction,6382.0,21.4,9.2,4.9,7.3,Moderate Controversy Level,2.0,34.0,Medium,2.0,2,-0.8270684951396783,0.8612059709383967
PSA,Public Storage,Real Estate,REIT - Industrial,6200.0,13.1,4.7,5.7,2.6,Low Controversy Level,1.0,7.0,Low,1.0,0,-2.162422687303358,-0.5991079027111468
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,12543.0,27.2,12.5,5.5,9.3,Moderate Controversy Level,2.0,58.0,Medium,2.0,2,-0.35305986630053915,1.304658539541052
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,40366.0,19.9,0.6,9.3,10.0,Low Controversy Level,1.0,28.0,Low,1.0,3,0.029323087060163563,-1.7513891370051706
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,2574.0,10.3,2.7,5.0,2.5,Low Controversy Level,1.0,3.0,Low,1.0,0,-2.325797718270343,-0.7599694555541993
PGR,Progressive Corporation,Financial Services,Insurance - Property & Casualty,61432.0,20.0,1.5,10.1,8.5,Moderate Controversy Level,2.0,28.0,Medium,2.0,3,0.6378390360287173,-1.3857529846980088
PG,Procter & Gamble Company,Consumer Defensive,Household & Personal Products,107000.0,28.6,9.6,6.7,12.2,Significant Controversy Level,3.0,63.0,Medium,3.0,1,1.1703458133562887,1.1466554766763644
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,19800.0,14.2,0.8,7.6,5.8,Low Controversy Level,1.0,9.0,Low,1.0,0,-1.1201497455165086,-1.4963729355830617
PPL,Ppl Corporation,Utilities,Utilities - Regulated Electric,6629.0,31.3,17.1,5.3,8.9,Moderate Controversy Level,2.0,74.0,High,2.0,2,-0.5055108616956404,2.039078090501589
PPG,"Ppg Industries, Inc.",Basic Materials,Specialty Chemicals,50000.0,25.2,11.0,6.5,7.7,Moderate Controversy Level,2.0,50.0,Medium,2.0,2,-0.40194573418482893,0.8097720287664495
PNC,Pnc Financial Services Group,Financial Services,Banks - Regional,54441.0,26.1,1.9,10.8,13.3,Significant Controversy Level,3.0,53.0,Medium,3.0,1,2.365342762840288,-0.869577179694726
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,6133.0,30.8,14.7,5.8,10.2,Low Controversy Level,1.0,72.0,High,1.0,2,-0.8413068747495963,1.16049258142505
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,14000.0,35.4,20.8,5.8,8.8,Significant Controversy Level,3.0,84.0,High,3.0,2,0.2663031271143586,2.943383278093425
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,82700.0,28.5,3.4,11.5,13.5,Significant Controversy Level,3.0,63.0,Medium,3.0,1,2.5505224745790223,-0.7820722393120565
PCG,Pg&e Corporation,Utilities,Utilities - Regulated Electric,28010.0,30.4,9.6,5.4,15.4,High Controversy Level,4.0,70.0,High,4.0,1,2.1538886091508602,1.9746858283421702
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,88000.0,24.6,2.1,9.6,12.9,Significant Controversy Level,3.0,47.0,Medium,3.0,1,2.01684431022936,-0.5967331519690937
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,318000.0,22.1,7.3,5.2,9.6,Significant Controversy Level,3.0,36.0,Medium,3.0,2,0.37440987962939676,1.0282936013789987
PNR,Pentair Plc,Industrials,Specialty Industrial Machinery,10500.0,22.1,6.0,6.1,10.0,Low Controversy Level,1.0,36.0,Medium,1.0,0,-0.7436965263893812,-0.24313085494266795
PYPL,"Paypal Holdings, Inc.",Financial Services,Credit Services,27200.0,17.8,2.8,5.8,9.2,Moderate Controversy Level,2.0,20.0,Low,2.0,0,-0.22990593187188849,-0.24894625149480554
PAYX,Paychex Inc,Industrials,Staffing & Employment Services,16000.0,16.7,3.2,6.4,7.2,Low Controversy Level,1.0,16.0,Low,1.0,0,-1.1599154228817141,-0.8275537066905744
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,62730.0,29.5,9.5,6.2,13.8,Moderate Controversy Level,2.0,67.0,Medium,2.0,2,0.6425983385361,0.8430703791909808
PARA,Paramount Global Class B,Communication Services,Entertainment,21900.0,15.0,0.1,7.4,7.5,Significant Controversy Level,3.0,11.0,Low,3.0,1,0.5525584433440136,-0.6117222691329218
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,15166.0,13.9,0.7,5.6,7.6,Low Controversy Level,1.0,9.0,Low,1.0,0,-1.252117653559362,-1.0274271321851793
PKG,Packaging Corp of America,Consumer Cyclical,Packaging & Containers,14900.0,18.6,14.0,3.6,1.1,Low Controversy Level,1.0,23.0,Low,1.0,0,-2.9837475879836743,1.223806993348563
PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery,32400.0,27.6,8.4,8.3,11.0,Significant Controversy Level,3.0,60.0,Medium,3.0,1,1.3288495984902409,0.5831830052998984
ORCL,Oracle Corp,Technology,Software - Infrastructure,164000.0,13.9,0.5,5.6,7.8,Moderate Controversy Level,2.0,9.0,Low,2.0,0,-0.5114177889233528,-0.6046294404750467
OKE,"Oneok, Inc.",Energy,Oil & Gas Midstream,4775.0,25.1,10.8,3.3,11.0,Low Controversy Level,1.0,50.0,Medium,1.0,2,-1.2399917692016014,1.1207701506669223
ON,On Semiconductor Corp,Technology,Semiconductors,30000.0,22.4,11.8,4.9,5.7,Low Controversy Level,1.0,38.0,Medium,1.0,0,-1.83863596185067,0.7604532253622638
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,75900.0,16.3,0.1,6.9,9.3,Low Controversy Level,1.0,15.0,Low,1.0,0,-0.6428780131525934,-1.3403574877804945
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,12570.0,41.7,25.0,7.0,9.7,Moderate Controversy Level,2.0,93.0,Severe,2.0,2,-0.030844661077443977,2.9142663014344308
ORLY,"O'reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,90601.0,12.1,0.1,3.8,8.1,Low Controversy Level,1.0,5.0,Low,1.0,0,-1.5694117727160208,-0.7201361993495826
NXPI,Nxp Semiconductors N.v.,Technology,Semiconductors,34200.0,19.8,8.6,5.8,5.4,Low Controversy Level,1.0,27.0,Low,1.0,0,-1.6628494529330682,0.06880049861648249
NVR,"Nvr, Inc.",Consumer Cyclical,Residential Construction,6300.0,20.3,7.2,5.2,7.8,Low Controversy Level,1.0,29.0,Medium,1.0,0,-1.3561718009968238,0.060319659287744826
NVDA,Nvidia Corp,Technology,Semiconductors,29600.0,13.6,2.3,6.3,4.9,Moderate Controversy Level,2.0,8.0,Low,2.0,0,-0.8885204600895967,-0.5724616769363076
NUE,Nucor Corporation,Basic Materials,Steel,32000.0,32.8,9.3,8.8,14.7,Moderate Controversy Level,2.0,78.0,High,2.0,1,1.401955421879678,0.288755908731522
NRG,"Nrg Energy, Inc.",Utilities,Utilities - Independent Power Producers,18131.0,32.0,16.8,5.7,9.5,Moderate Controversy Level,2.0,75.0,High,2.0,2,-0.30329293613658137,1.927623140383835
NCLH,Norwegian Cruise Line Holdings Ltd.s,Consumer Cyclical,Travel Services,41000.0,25.9,9.0,6.1,10.9,Moderate Controversy Level,2.0,53.0,Medium,2.0,2,0.09953477267327977,0.6929420951287228
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,101000.0,27.5,7.8,5.4,14.4,Moderate Controversy Level,2.0,59.0,Medium,2.0,2,0.5805454103338811,0.7723328007235335
NTRS,Northern Trust Corp,Financial Services,Asset Management,23000.0,23.9,1.9,10.2,11.8,Moderate Controversy Level,2.0,44.0,Medium,2.0,3,1.2539134848511284,-1.2378771300878069
NSC,Norfolk Southern Corp.,Industrials,Railroads,20700.0,23.9,8.0,5.4,10.5,Significant Controversy Level,3.0,44.0,Medium,3.0,2,0.5775573562549402,1.1224369665575504
NDSN,Nordson Corp,Industrials,Specialty Industrial Machinery,7700.0,24.9,8.2,5.1,11.6,Low Controversy Level,1.0,49.0,Medium,1.0,2,-0.7000451259204524,0.3590302949227935
NI,Nisource Inc.,Utilities,Utilities - Regulated Gas,7364.0,26.0,12.0,4.9,9.2,Significant Controversy Level,3.0,53.0,Medium,3.0,2,0.19831612079229163,1.7993103216004218
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,83700.0,19.6,3.0,6.7,10.0,Significant Controversy Level,3.0,27.0,Low,3.0,1,0.8222523028211525,0.06331002509175636
NEE,"Nextra Energy, Inc.",Utilities,Utilities - Regulated Electric,16800.0,23.3,9.4,5.6,8.3,Moderate Controversy Level,2.0,41.0,Medium,2.0,2,-0.4876414258290518,0.7756316195598889
NWSA,News Corporation Class A,Communication Services,Entertainment,25000.0,11.5,0.0,6.7,4.7,Moderate Controversy Level,2.0,4.0,Low,2.0,0,-0.8158731171443001,-1.0165606338640767
NEM,Newmont Corporation,Basic Materials,Gold,21700.0,20.5,7.1,5.2,8.2,Significant Controversy Level,3.0,30.0,Medium,3.0,2,0.12298458509718305,0.9518898880326642
NFLX,Netflix Inc,Communication Services,Entertainment,13000.0,16.4,0.1,9.0,7.3,Moderate Controversy Level,2.0,15.0,Low,2.0,3,0.1796738589493448,-1.4055253908355227
NTAP,"Netapp, Inc",Technology,Computer Hardware,,15.4,2.2,5.5,7.7,Low Controversy Level,1.0,12.0,Low,1.0,0,-1.268163576357024,-0.7730125549952007
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,8568.0,13.1,0.0,7.4,5.6,Low Controversy Level,1.0,7.0,Low,1.0,0,-1.1960890127572705,-1.582964340971549
MSCI,"Msci, Inc.",Financial Services,Financial Data & Stock Exchanges,5858.0,16.3,1.6,7.7,7.0,Low Controversy Level,1.0,15.0,Low,1.0,0,-0.8864477059077787,-1.3558280119015023
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,21000.0,13.1,2.3,5.8,5.1,Low Controversy Level,1.0,7.0,Low,1.0,0,-1.669936572620011,-0.9064756424433714
MS,Morgan Stanley,Financial Services,Capital Markets,80000.0,24.6,1.1,10.5,12.9,Moderate Controversy Level,2.0,47.0,Medium,2.0,3,1.5273042106995245,-1.388343952857113
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,15439.0,15.8,1.6,8.1,6.1,Moderate Controversy Level,2.0,14.0,Low,2.0,0,-0.2543870040854752,-1.0234187338067189
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,5254.0,29.2,12.1,5.1,12.0,Moderate Controversy Level,2.0,66.0,Medium,2.0,2,0.04612726623285604,1.4166871322312777
MDLZ,"Mondelez International, Inc. Class A",Consumer Defensive,Confectioners,91000.0,22.0,7.2,5.4,9.4,Significant Controversy Level,3.0,36.0,Medium,3.0,2,0.38481607450394056,0.9638879518040292
TAP,Molson Coors Beverage Company Class B,Consumer Defensive,Beverages - Brewers,16500.0,21.4,7.3,5.5,8.6,Moderate Controversy Level,2.0,33.0,Medium,2.0,2,-0.44063567954044575,0.4848843123487676
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",43300.0,14.1,5.8,4.2,4.2,Moderate Controversy Level,2.0,9.0,Low,2.0,0,-1.5219478555278443,0.38775124749241513
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,2427.0,13.1,3.9,6.3,3.0,Low Controversy Level,1.0,7.0,Low,1.0,0,-1.9468074426324062,-0.8362682961700747
MSFT,Microsoft Corp,Technology,Software - Infrastructure,221000.0,15.1,1.5,6.1,7.5,Significant Controversy Level,3.0,11.0,Low,3.0,0,0.24445473753862543,-0.12063412029984334
MU,"Micron Technology, Inc.",Technology,Semiconductors,43000.0,18.2,7.2,5.5,5.5,Moderate Controversy Level,2.0,21.0,Low,2.0,0,-0.9999269382080751,0.36824734173863194
MCHP,Microchip Technology Inc,Technology,Semiconductors,22300.0,31.8,15.3,7.4,9.2,Low Controversy Level,1.0,75.0,High,1.0,2,-0.660131597733588,0.8794054414912551
MGM,Mgm Resorts International,Consumer Cyclical,Resorts & Casinos,58000.0,24.8,1.3,10.5,13.0,Moderate Controversy Level,2.0,48.0,Medium,2.0,3,1.5438744240559132,-1.354425926226637
MET,"Metlife, Inc.",Financial Services,Insurance - Life,45000.0,16.4,0.7,8.8,7.0,Moderate Controversy Level,2.0,15.0,Low,2.0,3,0.07519988140279779,-1.2808356477896654
META,"Meta Platforms, Inc. Class A",Communication Services,Internet Content & Information,69329.0,34.1,2.7,10.3,21.1,High Controversy Level,4.0,81.0,High,4.0,1,4.357088841074414,0.06120896132799709
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,70000.0,21.4,1.9,8.9,10.6,Significant Controversy Level,3.0,34.0,Medium,3.0,1,1.442562159742909,-0.5536444873064439
MDT,Medtronic Plc,Healthcare,Medical Devices,95000.0,22.8,1.8,7.6,13.4,Significant Controversy Level,3.0,39.0,Medium,3.0,1,1.6515168831293563,-0.2009229321701721
MCK,Mckesson Corporation,Healthcare,Medical Distribution,45000.0,15.2,1.6,6.3,7.3,Significant Controversy Level,3.0,12.0,Low,3.0,0,0.2533653702944946,-0.15438987299171003
MCD,Mcdonald's Corporation,Consumer Cyclical,Restaurants,100000.0,26.0,7.6,5.8,12.6,Significant Controversy Level,3.0,53.0,Medium,3.0,1,1.051509694999288,1.0446790142088511
MKC,"Mccormick & Company, Incorporated Non-Vtg Cs",Consumer Defensive,Packaged Foods,13800.0,26.1,9.6,5.3,11.1,Moderate Controversy Level,2.0,53.0,Medium,2.0,2,-0.05198022179395017,0.9616058118274609
MA,Mastercard Incorporated,Financial Services,Credit Services,33400.0,17.1,2.2,8.3,6.7,High Controversy Level,4.0,17.0,Low,4.0,1,1.3014564303086313,-0.06058204811486372
MAS,Masco Corporation,Industrials,Building Products & Equipment,18000.0,22.2,9.7,6.8,5.6,Low Controversy Level,1.0,37.0,Medium,1.0,0,-1.405993669808985,0.031188982774940668
MLM,Martin Marietta Materials,Basic Materials,Building Materials,9400.0,30.1,16.7,8.7,4.8,Moderate Controversy Level,2.0,69.0,High,2.0,2,-0.4647871309252269,1.1205294692356593
MMC,"Marsh & Mclennan Companies, Inc.",Financial Services,Insurance Brokers,85000.0,21.1,0.1,9.7,11.3,Moderate Controversy Level,2.0,32.0,Medium,2.0,3,1.0625697546305488,-1.4237057466759224
MAR,Marriot International Class A,Consumer Cyclical,Lodging,411000.0,21.4,8.6,3.7,9.2,Significant Controversy Level,3.0,34.0,Medium,3.0,2,-0.05099911178224111,1.5335287244197013
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,18200.0,30.5,17.1,5.3,8.1,Significant Controversy Level,3.0,71.0,High,3.0,2,0.05303568607105983,2.4598443816210875
MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,1681.0,37.7,21.1,7.6,9.1,Moderate Controversy Level,2.0,89.0,High,2.0,2,0.027294041682328428,2.169351208813676
MTB,M&t Bank Corp.,Financial Services,Banks - Regional,21927.0,26.5,2.6,13.6,10.3,Low Controversy Level,1.0,55.0,Medium,1.0,3,1.053049034753274,-2.3497912741634437
